data,valor
2021-08-31,2.899042
2021-09-30,-4.756917
2021-10-31,6.914384
2021-11-30,-0.833371
2021-12-31,4.361291
2022-01-31,-5.258517
2022-02-28,-3.136049
2022-03-31,3.577329
2022-04-30,-8.795671
2022-05-31,0.005318
2022-06-30,-8.392
2022-07-31,9.111639
2022-08-31,-4.244013
2022-09-30,-9.339567
2022-10-31,7.986341
2022-11-30,5.375289
2022-12-31,-5.897147
2023-01-31,6.175286
2023-02-28,-2.611249
2023-03-31,3.505161
2023-04-30,1.464234
2023-05-31,0.248235
2023-06-30,6.472746
2023-07-31,3.113893
2023-08-31,-1.771639
2023-09-30,-4.871937
2023-10-31,-2.197969
2023-11-30,8.917927
2023-12-31,4.422923
2024-01-31,1.589571
2024-02-29,5.172064
2024-03-31,3.101878
2024-04-30,-4.161507
2024-05-31,4.802119
2024-06-30,3.46698
2024-07-31,1.132132
2024-08-31,2.283471
2024-09-30,2.019688
2024-10-31,-0.989674
2024-11-30,5.73013
2024-12-31,-2.499014
2025-01-31,2.70163
2025-02-28,-1.424209
2025-03-31,-5.75447
2025-04-30,-0.762494
2025-05-31,6.152383
2025-06-30,4.960684
2025-07-31,2.166656
2025-08-31,1.906644
2025-09-30,3.532369
2025-10-31,2.268687
2025-11-30,0.129962
2025-12-31,-0.052413
2026-01-31,1.366296
2026-02-28,-0.866834
2026-03-31,-5.093269
2026-04-30,10.423339
2026-05-31,5.147036
2026-06-30,-1.064638
2026-07-31,0.131216
