data,valor
2021-07-31,1414.75
2021-08-31,1298.75
2021-09-30,1256.0
2021-10-31,1235.75
2021-11-30,1217.25
2021-12-31,1328.75
2022-01-31,1490.5
2022-02-28,1644.25
2022-03-31,1618.25
2022-04-30,1708.25
2022-05-31,1683.25
2022-06-30,1675.0
2022-07-31,1637.0
2022-08-31,1507.5
2022-09-30,1364.75
2022-10-31,1407.0
2022-11-30,1469.5
2022-12-31,1519.25
2023-01-31,1538.0
2023-02-28,1490.5
2023-03-31,1505.5
2023-04-30,1444.25
2023-05-31,1299.75
2023-06-30,1557.25
2023-07-31,1445.75
2023-08-31,1360.0
2023-09-30,1275.0
2023-10-31,1287.0
2023-11-30,1342.75
2023-12-31,1293.5
2024-01-31,1222.25
2024-02-29,1128.25
2024-03-31,1191.5
2024-04-30,1145.5
2024-05-31,1205.0
2024-06-30,1150.5
2024-07-31,1028.5
2024-08-31,982.0
2024-09-30,1057.0
2024-10-31,982.5
2024-11-30,989.5
2024-12-31,998.25
2025-01-31,1042.0
2025-02-28,1011.5
2025-03-31,1014.75
2025-04-30,1034.75
2025-05-31,1041.75
2025-06-30,1024.25
2025-07-31,961.75
2025-08-31,1036.75
2025-09-30,1001.75
2025-10-31,1099.75
2025-11-30,1137.75
2025-12-31,1030.5
2026-01-31,1064.25
2026-02-28,1157.25
2026-03-31,1171.0
2026-04-30,1182.0
2026-05-31,1186.75
2026-06-30,1116.75
2026-07-31,1227.0
