data,valor
2021-07-01,0.78
2021-08-01,0.66
2021-09-01,-0.64
2021-10-01,0.64
2021-11-01,0.02
2021-12-01,0.87
2022-01-01,1.82
2022-02-01,1.83
2022-03-01,1.74
2022-04-01,1.41
2022-05-01,0.52
2022-06-01,0.59
2022-07-01,0.21
2022-08-01,-0.7
2022-09-01,-0.95
2022-10-01,-0.97
2022-11-01,-0.56
2022-12-01,0.45
2023-01-01,0.21
2023-02-01,-0.06
2023-03-01,0.05
2023-04-01,-0.95
2023-05-01,-1.84
2023-06-01,-1.93
2023-07-01,-0.72
2023-08-01,-0.14
2023-09-01,0.37
2023-10-01,0.5
2023-11-01,0.59
2023-12-01,0.74
2024-01-01,0.07
2024-02-01,-0.52
2024-03-01,-0.47
2024-04-01,0.31
2024-05-01,0.89
2024-06-01,0.81
2024-07-01,0.61
2024-08-01,0.29
2024-09-01,0.62
2024-10-01,1.52
2024-11-01,1.3
2024-12-01,0.94
2025-01-01,0.27
2025-02-01,1.06
2025-03-01,-0.34
2025-04-01,0.24
2025-05-01,-0.49
2025-06-01,-1.67
2025-07-01,-0.77
2025-08-01,0.36
2025-09-01,0.42
2025-10-01,-0.36
2025-11-01,0.27
2025-12-01,-0.01
2026-01-01,0.41
2026-02-01,-0.73
2026-03-01,0.52
2026-04-01,2.73
2026-05-01,0.84
2026-06-01,-0.5
