data,valor
2021-07-01,2.94
2021-08-01,2.96
2021-09-01,3.01
2021-10-01,2.99
2021-11-01,3.01
2021-12-01,3.05
2022-01-01,3.26
2022-02-01,3.38
2022-03-01,3.45
2022-04-01,3.54
2022-05-01,3.65
2022-06-01,3.57
2022-07-01,3.71
2022-08-01,3.78
2022-09-01,3.8
2022-10-01,3.89
2022-11-01,3.92
2022-12-01,3.94
2023-01-01,4.11
2023-02-01,4.16
2023-03-01,4.11
2023-04-01,4.26
2023-05-01,4.35
2023-06-01,4.25
2023-07-01,4.22
2023-08-01,4.12
2023-09-01,4.0
2023-10-01,3.97
2023-11-01,3.88
2023-12-01,3.75
2024-01-01,3.76
2024-02-01,3.76
2024-03-01,3.71
2024-04-01,3.75
2024-05-01,3.82
2024-06-01,3.71
2024-07-01,3.78
2024-08-01,3.82
2024-09-01,3.83
2024-10-01,3.79
2024-11-01,3.75
2024-12-01,3.63
2025-01-01,3.89
2025-02-01,3.96
2025-03-01,4.03
2025-04-01,4.25
2025-05-01,4.36
2025-06-01,4.41
2025-07-01,4.66
2025-08-01,4.92
2025-09-01,4.89
2025-10-01,4.99
2025-11-01,5.12
2025-12-01,5.12
2026-01-01,5.38
2026-02-01,5.56
2026-03-01,5.4
2026-04-01,5.51
2026-05-01,5.62
