data,valor
2021-07-01,1.58
2021-08-01,1.56
2021-09-01,1.43
2021-10-01,1.43
2021-11-01,1.46
2021-12-01,1.4
2022-01-01,1.46
2022-02-01,1.44
2022-03-01,1.55
2022-04-01,1.57
2022-05-01,1.57
2022-06-01,1.52
2022-07-01,1.6
2022-08-01,1.62
2022-09-01,1.65
2022-10-01,1.77
2022-11-01,1.81
2022-12-01,1.8
2023-01-01,1.94
2023-02-01,2.17
2023-03-01,2.2
2023-04-01,2.45
2023-05-01,2.58
2023-06-01,2.63
2023-07-01,2.73
2023-08-01,2.82
2023-09-01,2.82
2023-10-01,2.92
2023-11-01,2.99
2023-12-01,2.59
2024-01-01,2.77
2024-02-01,2.76
2024-03-01,2.71
2024-04-01,2.76
2024-05-01,2.8
2024-06-01,2.64
2024-07-01,2.52
2024-08-01,2.55
2024-09-01,2.56
2024-10-01,2.52
2024-11-01,2.5
2024-12-01,2.21
2025-01-01,2.43
2025-02-01,2.52
2025-03-01,2.49
2025-04-01,2.72
2025-05-01,2.67
2025-06-01,2.67
2025-07-01,2.79
2025-08-01,2.85
2025-09-01,2.77
2025-10-01,2.82
2025-11-01,2.74
2025-12-01,2.68
2026-01-01,2.87
2026-02-01,3.07
2026-03-01,3.04
2026-04-01,3.15
2026-05-01,3.24
