data,valor
2021-07-01,2.36
2021-08-01,2.37
2021-09-01,2.34
2021-10-01,2.33
2021-11-01,2.36
2021-12-01,2.35
2022-01-01,2.51
2022-02-01,2.57
2022-03-01,2.66
2022-04-01,2.72
2022-05-01,2.79
2022-06-01,2.73
2022-07-01,2.84
2022-08-01,2.9
2022-09-01,2.92
2022-10-01,3.04
2022-11-01,3.07
2022-12-01,3.07
2023-01-01,3.24
2023-02-01,3.36
2023-03-01,3.35
2023-04-01,3.54
2023-05-01,3.65
2023-06-01,3.61
2023-07-01,3.63
2023-08-01,3.61
2023-09-01,3.54
2023-10-01,3.56
2023-11-01,3.53
2023-12-01,3.29
2024-01-01,3.38
2024-02-01,3.38
2024-03-01,3.33
2024-04-01,3.37
2024-05-01,3.43
2024-06-01,3.29
2024-07-01,3.3
2024-08-01,3.33
2024-09-01,3.34
2024-10-01,3.3
2024-11-01,3.27
2024-12-01,3.08
2025-01-01,3.34
2025-02-01,3.41
2025-03-01,3.44
2025-04-01,3.67
2025-05-01,3.72
2025-06-01,3.75
2025-07-01,3.96
2025-08-01,4.14
2025-09-01,4.09
2025-10-01,4.18
2025-11-01,4.23
2025-12-01,4.2
2026-01-01,4.45
2026-02-01,4.64
2026-03-01,4.52
2026-04-01,4.63
2026-05-01,4.74
