data,valor
2021-07-01,20.26
2021-08-01,20.92
2021-09-01,21.42
2021-10-01,22.89
2021-11-01,23.91
2021-12-01,24.21
2022-01-01,25.23
2022-02-01,25.63
2022-03-01,26.54
2022-04-01,27.46
2022-05-01,27.42
2022-06-01,27.88
2022-07-01,29.24
2022-08-01,28.6
2022-09-01,28.57
2022-10-01,29.68
2022-11-01,30.52
2022-12-01,29.64
2023-01-01,30.54
2023-02-01,30.48
2023-03-01,30.99
2023-04-01,31.62
2023-05-01,31.63
2023-06-01,30.85
2023-07-01,30.43
2023-08-01,29.92
2023-09-01,29.66
2023-10-01,29.24
2023-11-01,29.01
2023-12-01,28.14
2024-01-01,28.0
2024-02-01,27.85
2024-03-01,28.14
2024-04-01,27.86
2024-05-01,27.75
2024-06-01,27.81
2024-07-01,27.74
2024-08-01,27.59
2024-09-01,27.49
2024-10-01,27.94
2024-11-01,28.45
2024-12-01,28.5
2025-01-01,29.88
2025-02-01,30.53
2025-03-01,31.34
2025-04-01,31.63
2025-05-01,31.7
2025-06-01,31.85
2025-07-01,31.75
2025-08-01,31.87
2025-09-01,31.47
2025-10-01,32.04
2025-11-01,32.32
2025-12-01,31.99
2026-01-01,32.6
2026-02-01,32.78
2026-03-01,32.99
2026-04-01,33.51
2026-05-01,33.42
