data,valor
2021-07-01,355671.0
2021-08-01,370395.0
2021-09-01,368886.0
2021-10-01,367927.0
2021-11-01,367772.0
2021-12-01,362204.0
2022-01-01,358398.0
2022-02-01,357740.0
2022-03-01,353169.0
2022-04-01,345097.0
2022-05-01,346415.0
2022-06-01,341958.0
2022-07-01,346403.0
2022-08-01,339664.0
2022-09-01,327580.0
2022-10-01,325546.0
2022-11-01,331505.0
2022-12-01,324703.0
2023-01-01,331122.0
2023-02-01,328098.0
2023-03-01,341158.0
2023-04-01,345725.0
2023-05-01,343489.0
2023-06-01,343620.0
2023-07-01,345476.0
2023-08-01,344177.0
2023-09-01,340324.0
2023-10-01,340247.0
2023-11-01,348406.0
2023-12-01,355034.0
2024-01-01,355066.0
2024-02-01,352705.0
2024-03-01,355008.0
2024-04-01,351599.0
2024-05-01,355560.0
2024-06-01,357827.0
2024-07-01,363282.0
2024-08-01,369214.0
2024-09-01,372016.0
2024-10-01,366096.0
2024-11-01,363003.0
2024-12-01,329730.0
2025-01-01,328303.0
2025-02-01,332508.0
2025-03-01,336157.0
2025-04-01,340789.0
2025-05-01,341459.0
2025-06-01,344440.0
2025-07-01,345111.0
2025-08-01,350767.0
2025-09-01,356582.0
2025-10-01,357103.0
2025-11-01,360578.0
2025-12-01,358234.0
2026-01-01,364367.0
2026-02-01,371074.0
2026-03-01,362002.0
2026-04-01,366913.0
2026-05-01,371137.0
2026-06-01,367558.0
